Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.315941
1	Clockticks	14389305000
2	Performance-core (P-core)	11788713000
2	Efficient-core (E-core)	2600592000
1	Instructions Retired	19392895000
2	Performance-core (P-core)	15890382000
2	Efficient-core (E-core)	3502513000
1	CPI Rate	0.741988
2	Performance-core (P-core)	0.741877
2	Efficient-core (E-core)	0.742493
1	MUX Reliability	0.959186
1	Performance-core (P-core)	
2	Retiring	25.5
3	Light Operations	23.8
4	FP Arithmetic	0.2
5	FP x87	0.0
5	FP Scalar	0.2
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	8.3
4	Fused Instructions	2.2
4	Non Fused Branches	1.2
4	Other	11.9
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.8
4	Few Uops Instructions	1.8
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	29.2
3	Front-End Latency	17.6
4	ICache Misses	6.6
5	Code L2 Hit	0.0
5	Code L2 Miss	9.8
4	ITLB Misses	3.7
5	Code STLB Hit	2.5
5	Code STLB Miss	1.2
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	8.8
5	Mispredicts Resteers	6.5
5	Clears Resteers	2.4
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	2.9
3	Front-End Bandwidth	11.6
4	Front-End Bandwidth MITE	5.2
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	8.2
4	Front-End Bandwidth LSD	0.7
4	MS	0.3
4	(Info) DSB Coverage	71.5
4	(Info) LSD Coverage	13.2
4	(Info) DSB Misses	6.6
2	Bad Speculation	23.4
3	Branch Mispredict	17.2
4	Other Mispredicts	0.0
3	Machine Clears	6.2
4	Other Nukes	6.2
2	Back-End Bound	21.9
3	Memory Bound	15.1
4	L1 Bound	6.7
5	DTLB Overhead	7.9
6	Load STLB Hit	4.9
6	Load STLB Miss	3.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.4
5	L1 Latency Dependency	12.3
5	Lock Latency	3.2
5	Split Loads	0.0
5	FB Full	0.3
4	L2 Bound	3.9
5	L2 Hit Latency	11.9
4	L3 Bound	7.3
5	L3 Latency	5.1
5	SQ Full	0.3
4	DRAM Bound	11.2
5	Memory Bandwidth	21.8
5	Memory Latency	5.6
4	Store Bound	0.0
5	Store Latency	2.8
5	Split Stores	0.1
5	DTLB Store Overhead	4.3
6	Store STLB Hit	3.9
6	Store STLB Miss	0.5
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	6.8
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	3.4
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	18.0
5	Cycles of 0 Ports Utilized	0.3
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	12.3
5	Cycles of 2 Ports Utilized	10.6
5	Cycles of 3+ Ports Utilized	33.0
6	ALU Operation Utilization	15.8
7	Port 0	17.6
7	Port 1	11.8
7	Port 6	28.1
6	Load Operation Utilization	15.3
6	Store Operation Utilization	14.9
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	24.7
3	Arith Ops	15.2
4	Non Divider	15.2
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	9.5
4	Loads	6.0
4	Stores	3.4
2	Front-End Bound	18.6
3	IFetch Latency	3.4
4	ICache Misses	1.6
4	ITLB Misses	0.4
4	BACLEARS	1.0
4	Branch Resteers	0.2
3	IFetch Bandwidth	15.2
4	Cisc	0.7
4	Decode	12.2
4	Pre-Decode Wrong	0.1
4	Front-End Other	2.2
2	Bad Speculation	41.3
3	Branch Mispredict	35.8
3	Machine Clears	5.5
4	Ucode_Assist	0.0
4	Machine_Restart	0.7
2	Back-End Bound	15.4
3	Memory Subsystem Bound	9.0
4	L2 Bound	2.6
4	L2 Miss	4.6
5	L3 Bound	3.6
5	Memory Bound	1.0
3	Core Bound	6.3
4	Serializing Operations	1.7
5	Pause	0.8
5	TPause	0.0
4	L1 Bound	1.8
4	RB Bound	0.0
4	Store Bound	0.7
4	Execution Bound	1.9
4	Allocation Bound	0.2
5	Allocation Restriction	0.2
2	Info Metrics	
3	Stores Bound	0.007261
3	Load Bound	0.108900
1	Average CPU Frequency	3986208379.117728
1	Total Thread Count	51
1	Paused Time	0.0
0	Effective Physical Core Utilization	10.0% (1.205 out of 12)
1	Effective Logical Core Utilization	9.7% (1.559 out of 16)
0	Collection and Platform Info	
1	Application Command Line	D:\Users\35239\PycharmProjects\AI_Project\.venv_web313\Scripts\python.exe "D:\Users\35239\PycharmProjects\AI_Project\_wsl_cache_measure.py" "--algo" "histogram" "--samples" "20000" 
1	Operating System	Microsoft Windows 11
1	Computer Name	ChouGrok
1	Result Size	34221158
1	Collection start time	17:30:05 13/06/2026 UTC
1	Collection stop time	17:30:08 13/06/2026 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-P
2	Frequency	3187200941
2	Logical CPU Count	16
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
