Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	3.912877
1	Clockticks	15444202000
2	Performance-core (P-core)	13649921000
2	Efficient-core (E-core)	1794281000
1	Instructions Retired	17480695000
2	Performance-core (P-core)	15125502000
2	Efficient-core (E-core)	2355193000
1	CPI Rate	0.883500
2	Performance-core (P-core)	0.902444
2	Efficient-core (E-core)	0.761840
1	MUX Reliability	0.948189
1	Performance-core (P-core)	
2	Retiring	19.7
3	Light Operations	17.8
4	FP Arithmetic	1.9
5	FP x87	0.0
5	FP Scalar	1.9
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	5.1
4	Fused Instructions	1.8
4	Non Fused Branches	1.2
4	Other	7.8
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.9
4	Few Uops Instructions	1.9
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	36.7
3	Front-End Latency	30.2
4	ICache Misses	11.6
5	Code L2 Hit	0.0
5	Code L2 Miss	19.1
4	ITLB Misses	7.8
5	Code STLB Hit	5.7
5	Code STLB Miss	2.1
6	Code STLB Miss 4K	2.1
6	Code STLB Miss 2M	0.0
4	Branch Resteers	10.5
5	Mispredicts Resteers	9.5
5	Clears Resteers	1.1
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.2
4	DSB Switches	2.8
3	Front-End Bandwidth	6.4
4	Front-End Bandwidth MITE	4.4
5	Decoder-0 Alone	1.0
4	Front-End Bandwidth DSB	5.6
4	Front-End Bandwidth LSD	0.0
4	MS	0.8
4	(Info) DSB Coverage	67.2
4	(Info) LSD Coverage	11.5
4	(Info) DSB Misses	5.2
2	Bad Speculation	12.2
3	Branch Mispredict	11.0
4	Other Mispredicts	6.6
3	Machine Clears	1.2
4	Other Nukes	1.2
2	Back-End Bound	31.4
3	Memory Bound	24.1
4	L1 Bound	2.7
5	DTLB Overhead	9.2
6	Load STLB Hit	4.4
6	Load STLB Miss	4.8
7	Load STLB Miss 4K	4.8
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	7.9
5	Lock Latency	2.1
5	Split Loads	0.0
5	FB Full	0.2
4	L2 Bound	4.8
5	L2 Hit Latency	8.8
4	L3 Bound	7.0
5	L3 Latency	2.6
5	SQ Full	0.2
4	DRAM Bound	14.5
5	Memory Bandwidth	25.6
5	Memory Latency	23.0
4	Store Bound	0.2
5	Store Latency	6.6
5	Split Stores	0.1
5	DTLB Store Overhead	4.5
6	Store STLB Hit	3.9
6	Store STLB Miss	0.5
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.3
4	Divider	0.5
5	FP Divider	0.2
5	INT Divider	0.2
4	Serializing Operations	6.4
5	Slow Pause	0.5
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	15.7
